"","Season","Team","Roster Continuity","Lg","W","L","WP","Finish","SRS","Pace","Rel_Pace","ORtg","Rel_ORtg","DRtg","Rel_DRtg","Playoffs","Coaches","Top.WS","Winning.Percentage.ratio"
"31","1987","BOS",0.79,"NBA",57,25,0.695,1,6.15,97.9,-1.7,115.4,7.4,109.4,1.4,"Lost E. Conf. Finals","K. Jones (57-25)","L. Bird (15.0)",0.966101694915254
"32","1986","BOS",0.9,"NBA",59,23,0.72,1,6.57,98.6,-2.2,113.5,5.2,106.8,-1.5,"Lost Finals","K. Jones (59-23)","L. Bird (15.2)",0.880597014925373
"33","1985","BOS",0.8,"NBA",67,15,0.817,1,9.06,101.2,-0.9,111.8,4.6,102.6,-4.6,"Won Finals","K. Jones (67-15)","L. Bird (15.8)",1.06349206349206
"34","1984","BOS",0.97,"NBA",63,19,0.768,1,6.47,101.6,-0.5,112.8,4.9,106.3,-1.6,"Lost Finals","K. Jones (63-19)","L. Bird (15.7)",1.01612903225806
"35","1983","BOS",0.85,"NBA",62,20,0.756,1,6.42,99.7,-1.7,110.9,3.3,104.4,-3.2,"Won Finals","K. Jones (62-20)","L. Bird (13.6)",1.10714285714286
"36","1982","BOS",0.89,"NBA",56,26,0.683,2,5.34,104,0.9,106.9,2.2,101.8,-2.9,"Lost E. Conf. Semis","B. Fitch (56-26)","L. Bird (14.0)",0.888888888888889
"37","1981","BOS",0.95,"NBA",63,19,0.768,1,6.35,101.5,0.6,109.8,2.9,103.5,-3.4,"Lost E. Conf. Finals","B. Fitch (63-19)","L. Bird (12.5)",1.01612903225806
"38","1980","BOS",0.79,"NBA",62,20,0.756,1,6.05,100.8,-1,108.4,2.9,102.6,-2.9,"Won Finals","B. Fitch (62-20)","C. Maxwell (11.0)",1.01639344262295
"39","1979","BOS",0.65,"NBA",61,21,0.744,1,7.37,102.6,-0.5,109.4,4.1,101.9,-3.4,"Lost E. Conf. Finals","B. Fitch (61-21)","C. Maxwell (12.2)",2.10344827586207
"40","1978","BOS",0.48,"NBA",29,53,0.354,5,-4.78,106.5,0.7,101.6,-2.2,106.4,2.6,"","T. Sanders (2-12) D. Cowens (27-41)","C. Maxwell (11.7)",0.90625
"41","1977","BOS",0.73,"NBA",32,50,0.39,3,-1.86,105.9,-0.8,99.1,-1.8,100.9,0,"","T. Heinsohn (11-23) T. Sanders (21-27)","D. Cowens (10.8)",0.727272727272727
"42","1976","BOS",0.69,"NBA",44,38,0.537,2,-1.9,107.5,1,96.5,-3,98.3,-1.2,"Lost E. Conf. Semis","T. Heinsohn (44-38)","J. White (6.5)",0.814814814814815
"43","1975","BOS",0.79,"NBA",54,28,0.659,1,2.25,106.9,1.4,98.9,0.6,96.7,-1.6,"Won Finals","T. Heinsohn (54-28)","D. Cowens (10.7)",0.9
"44","1974","BOS",0.91,"NBA",60,22,0.732,1,5.4,106.1,1.6,100,2.3,94.7,-3,"Lost E. Conf. Finals","T. Heinsohn (60-22)","J. Havlicek (9.7)",1.07142857142857
"45","1973","BOS",0.98,"NBA",56,26,0.683,1,3.42,110,2.2,98.6,0.9,95.1,-2.6,"Won Finals","T. Heinsohn (56-26)","J. Havlicek (9.7)",0.823529411764706
"46","1972","BOS",0.84,"NBA",68,14,0.829,1,7.35,114.5,3.8,98.1,1.3,91,-5.8,"Lost E. Conf. Finals","T. Heinsohn (68-14)","J. Havlicek (12.1)",1.21428571428571
"47","1971","BOS",0.99,"NBA",56,26,0.683,1,4.38,116.1,4.1,99.3,1.4,95.2,-2.7,"Lost E. Conf. Finals","T. Heinsohn (56-26)","J. Havlicek (12.4)",1.27272727272727
"48","1970","BOS",0.72,"NBA",44,38,0.537,3,2.3,120.2,5.1,97,-0.2,95.3,-1.9,"","T. Heinsohn (44-38)","J. Havlicek (12.5)",1.29411764705882
"49","1969","BOS",0.8,"NBA",34,48,0.415,6,-1.6,117.5,0.4,97.3,-1.7,98.9,-0.1,"","T. Heinsohn (34-48)","J. Havlicek (10.6)",0.708333333333333
"50","1968","BOS",0.88,"NBA",48,34,0.585,4,5.35,117.5,0.6,93.8,-1.7,89.1,-6.4,"Won Finals","B. Russell (48-34)","B. Howell (11.3)",0.888888888888889
"51","1967","BOS",0.89,"NBA",54,28,0.659,2,3.87,121.1,1.3,95.7,-1.1,92.4,-4.4,"Won Finals","B. Russell (54-28)","B. Howell (10.1)",0.9
